"participant","signal","stimulus_intensity","response","confidence","accuracy"
"1",1,8,0,56,0
"1",0,12,0,65,1
"1",0,12,1,22,0
"1",1,16,1,62,1
"1",0,16,0,60,1
"1",0,12,0,76,1
"1",0,12,0,90,1
"1",1,8,0,21,0
"1",1,12,1,45,1
"1",0,12,0,51,1
"1",1,8,1,66,1
"1",0,8,1,55,0
"1",0,12,1,0,0
"1",1,16,1,45,1
"1",1,16,1,82,1
"1",1,12,1,12,1
"1",0,12,0,54,1
"1",1,8,0,62,0
"1",1,12,1,72,1
"1",0,12,0,59,1
"1",1,8,1,58,1
"1",1,8,1,47,1
"1",1,4,0,44,0
"1",0,8,0,46,1
"1",0,8,0,48,1
"1",0,4,0,67,1
"1",0,4,1,48,0
"1",0,8,0,29,1
"1",1,8,0,39,0
"1",1,12,1,64,1
"1",0,12,0,47,1
"1",1,8,1,40,1
"1",1,8,1,45,1
"1",1,4,1,51,1
"1",0,4,0,51,1
"1",0,2,0,56,1
"1",0,2,0,50,1
"1",0,2,0,60,1
"1",0,2,1,0,0
"1",0,6,0,58,1
"1",0,6,0,72,1
"1",1,2,1,62,1
"1",1,2,1,42,1
"1",0,2,1,57,0
"1",0,6,0,47,1
"1",0,6,0,53,1
"1",1,2,1,92,1
"1",1,2,0,83,0
"1",0,6,0,66,1
"1",0,6,0,49,1
"1",0,2,1,47,0
"1",1,6,1,69,1
"1",0,6,0,54,1
"1",1,2,1,58,1
"1",0,2,0,66,1
"1",0,2,1,0,0
"1",1,6,1,66,1
"1",1,6,0,46,0
"1",1,10,1,66,1
"1",1,10,1,45,1
"1",1,6,1,84,1
"1",1,6,1,61,1
"1",1,2,1,58,1
"1",0,2,0,31,1
"1",1,2,1,54,1
"1",0,2,0,35,1
"1",1,2,0,54,0
"1",0,6,1,60,0
"1",0,10,0,85,1
"1",1,10,1,87,1
"1",0,6,0,62,1
"1",1,6,1,55,1
"1",0,2,0,57,1
"1",0,2,0,50,1
"1",1,2,1,54,1
"1",1,2,1,72,1
"1",0,2,1,59,0
"1",0,6,1,30,0
"1",0,10,0,85,1
"1",0,10,0,92,1
"2",0,8,0,49,1
"2",0,8,0,61,1
"2",0,4,0,37,1
"2",0,4,0,42,1
"2",0,2,0,54,1
"2",1,2,1,42,1
"2",0,2,0,37,1
"2",0,2,1,36,0
"2",1,6,0,44,0
"2",0,10,1,54,0
"2",1,14,0,50,0
"2",0,18,0,66,1
"2",0,18,0,53,1
"2",0,14,0,62,1
"2",1,14,0,62,0
"2",0,18,0,68,1
"2",0,18,0,72,1
"2",1,14,1,43,1
"2",0,14,0,62,1
"2",0,10,0,41,1
"2",0,10,0,49,1
"2",0,6,1,49,0
"2",0,10,1,36,0
"2",1,14,0,31,0
"2",1,18,1,41,1
"2",0,18,0,39,1
"2",1,14,0,30,0
"2",0,18,0,33,1
"2",1,18,1,32,1
"2",1,14,0,26,0
"2",1,18,1,45,1
"2",0,18,0,40,1
"2",0,14,0,47,1
"2",0,14,0,40,1
"2",1,10,1,36,1
"2",1,10,1,27,1
"2",0,6,0,26,1
"2",0,6,0,34,1
"2",1,2,0,45,0
"2",1,6,1,77,1
"2",1,6,0,53,0
"2",0,10,0,62,1
"2",1,10,1,63,1
"2",0,6,1,55,0
"2",0,10,0,44,1
"2",0,10,0,41,1
"2",1,6,0,43,0
"2",0,10,0,72,1
"2",0,10,0,63,1
"2",1,6,1,74,1
"2",0,6,0,57,1
"2",0,2,1,48,0
"2",0,6,0,46,1
"2",1,6,1,59,1
"2",1,2,0,51,0
"2",1,6,1,61,1
"2",0,6,0,53,1
"2",0,2,0,44,1
"2",1,2,1,46,1
"2",1,2,0,57,0
"2",0,6,1,72,0
"2",1,10,0,42,0
"2",0,14,0,39,1
"2",0,14,1,43,0
"2",1,18,1,69,1
"2",0,18,0,36,1
"2",1,14,1,50,1
"2",0,14,1,39,0
"2",0,18,0,50,1
"2",1,18,1,48,1
"2",0,14,0,40,1
"2",1,14,1,67,1
"2",0,10,0,65,1
"2",1,10,1,73,1
"2",1,6,1,57,1
"2",1,6,1,44,1
"2",1,2,1,67,1
"2",1,2,1,40,1
"2",0,2,1,51,0
"2",0,6,1,63,0
"3",1,12,1,77,1
"3",1,12,1,81,1
"3",1,8,1,88,1
"3",0,8,0,59,1
"3",1,4,0,77,0
"3",1,8,0,55,0
"3",0,12,0,54,1
"3",1,12,1,74,1
"3",0,8,1,66,0
"3",0,12,0,70,1
"3",1,12,1,60,1
"3",1,8,1,59,1
"3",1,8,1,64,1
"3",0,4,0,46,1
"3",1,4,0,60,0
"3",1,8,1,76,1
"3",0,8,0,70,1
"3",1,4,1,51,1
"3",0,4,1,52,0
"3",0,8,1,82,0
"3",0,12,0,73,1
"3",0,12,1,70,0
"3",1,16,1,75,1
"3",1,16,1,72,1
"3",0,12,0,86,1
"3",1,12,1,88,1
"3",1,8,1,47,1
"3",1,8,1,53,1
"3",1,4,0,52,0
"3",0,8,1,50,0
"3",0,12,0,57,1
"3",1,12,0,58,0
"3",1,16,1,55,1
"3",0,16,1,29,0
"3",0,20,0,61,1
"3",0,20,0,64,1
"3",0,16,0,69,1
"3",0,16,1,63,0
"3",1,20,1,55,1
"3",0,20,1,50,0
"3",1,24,1,51,1
"3",1,24,1,84,1
"3",1,20,1,86,1
"3",1,20,1,68,1
"3",1,16,0,83,0
"3",1,20,1,87,1
"3",0,20,0,85,1
"3",1,16,1,59,1
"3",0,16,0,40,1
"3",0,12,0,44,1
"3",0,12,0,91,1
