userID,trial,stimuli,rews,s,block,stake,choice,points_real,points,planet,theor_best_choice,RT
1,1,"[1, 2]","[40, 50]","[1, 2]",1,5,2,250,5,2,2,4961
1,2,"[4, 3]","[40, 50]","[2, 2]",1,5,4,200,4,2,4,2056
1,3,"[2, 1]","[30, 70]","[1, 1]",1,1,1,70,7,1,2,1930
1,4,"[3, 4]","[70, 70]","[2, 1]",1,5,3,350,7,1,3,2433
1,5,"[3, 4]","[80, 40]","[2, 1]",1,1,3,80,8,1,3,1852
1,6,"[1, 2]","[80, 50]","[1, 1]",1,1,1,80,8,1,1,2016
1,7,"[2, 1]","[40, 90]","[1, 1]",1,1,1,90,9,1,2,1991
1,8,"[2, 1]","[10, 60]","[1, 1]",1,1,1,60,6,1,2,3077
1,9,"[4, 3]","[0, 40]","[2, 1]",1,5,3,200,4,1,4,1826
1,10,"[2, 1]","[20, 20]","[1, 2]",1,5,2,100,2,2,2,1819
1,11,"[4, 3]","[20, 20]","[2, 1]",1,1,3,20,2,1,4,1703
1,12,"[2, 1]","[30, 0]","[1, 2]",1,5,2,150,3,2,1,2137
1,13,"[3, 4]","[50, 20]","[2, 2]",1,1,4,20,2,2,3,2065
1,14,"[1, 2]","[60, 60]","[1, 1]",1,5,1,300,6,1,1,2510
1,15,"[3, 4]","[50, 80]","[2, 1]",1,5,3,250,5,1,4,2207
1,16,"[1, 2]","[90, 70]","[1, 1]",1,1,1,90,9,1,1,2724
1,17,"[1, 2]","[80, 60]","[1, 1]",1,5,1,400,8,1,1,2207
1,18,"[3, 4]","[80, 80]","[2, 1]",1,1,3,80,8,1,3,2260
1,19,"[3, 4]","[90, 90]","[2, 1]",1,5,3,450,9,1,3,1852
1,20,"[3, 4]","[80, 80]","[2, 1]",1,5,3,400,8,1,3,1664
1,21,"[4, 3]","[70, 20]","[2, 1]",1,5,3,100,2,1,3,3487
1,22,"[2, 1]","[50, 10]","[1, 2]",1,5,2,250,5,2,1,5105
1,23,"[3, 4]","[10, 40]","[2, 1]",1,1,3,10,1,1,4,2350
1,24,"[4, 3]","[40, 10]","[2, 1]",1,5,3,50,1,1,3,2041
1,25,"[4, 3]","[20, 10]","[2, 2]",1,1,4,20,2,2,3,1884
1,26,"[4, 3]","[40, 20]","[2, 2]",1,5,4,200,4,2,3,1708
1,27,"[3, 4]","[20, 60]","[2, 2]",1,1,4,60,6,2,4,1672
1,28,"[2, 1]","[70, 20]","[1, 2]",1,1,2,70,7,2,1,1993
1,29,"[2, 1]","[80, 10]","[1, 2]",1,1,2,80,8,2,1,1741
1,30,"[3, 4]","[30, 80]","[2, 2]",1,5,4,400,8,2,4,2107
1,31,"[1, 2]","[30, 80]","[1, 2]",1,1,2,80,8,2,2,1686
1,32,"[4, 3]","[80, 30]","[2, 2]",1,5,4,400,8,2,3,2061
1,33,"[1, 2]","[20, 50]","[1, 2]",1,1,2,50,5,2,2,1981
1,34,"[3, 4]","[40, 40]","[2, 2]",1,5,4,200,4,2,3,1826
1,35,"[4, 3]","[40, 40]","[2, 2]",1,1,4,40,4,2,4,2155
1,36,"[1, 2]","[50, 70]","[1, 1]",1,1,1,50,5,1,2,2242
1,37,"[1, 2]","[10, 80]","[1, 2]",1,5,2,400,8,2,2,2662
