choice,rt,task,ppt,feedback,safe_magnitudes,risky_magnitudes,optimal,risky_probability,ambiguity,attempt,rt_flip
1,5.224,2,1,-62,-0.32,-0.62,1,0.5,0,1,5.224
1,4.578,2,1,0,-0.35,-0.91,0,0.5,0,1,-4.578
0,3.355,2,1,47,0.47,1.03,0,0.5,1,1,-3.355
0,1.712,2,1,30,0.3,0.68,0,0.5,1,1,-1.712
0,1.622,2,1,34,0.34,0.54,1,0.5,1,1,1.622
0,3.271,2,1,55,0.55,1.3,0,0.5,0,1,-3.271
1,3.355,2,1,0,-0.55,-1.4,0,0.5,1,1,-3.355
0,1.17,2,1,49,0.49,1.12,0,0.5,1,1,-1.17
1,1.88,2,1,112,0.53,1.12,1,0.5,0,1,1.88
1,4.27,2,1,0,-0.51,-0.92,1,0.5,0,1,4.27
0,1.297,2,1,42,0.42,0.36,1,0.5,1,1,1.297
1,1.488,2,1,113,0.47,1.13,1,0.5,0,1,1.488
1,4.628,2,1,0,-0.42,-0.64,1,0.5,1,1,4.628
0,2.272,2,1,46,0.46,0.38,1,0.5,0,1,2.272
0,1.088,2,1,37,0.37,0.98,0,0.5,1,1,-1.088
0,2.272,2,1,52,0.52,0.78,1,0.5,0,1,2.272
1,2.313,2,1,-72,-0.42,-0.72,1,0.5,0,1,2.313
0,1.972,2,1,41,0.41,0.71,1,0.5,1,1,1.972
1,3.229,2,1,-78,-0.54,-0.78,1,0.5,0,1,3.229
1,1.681,2,1,0,-0.41,-0.71,1,0.5,1,1,1.681
0,1.813,2,1,40,0.4,0.96,0,0.5,0,1,-1.813
0,1.086,2,1,38,0.38,0.8,0,0.5,1,1,-1.086
0,1.421,2,1,41,0.41,0.77,1,0.5,0,1,1.421
1,4.42,2,1,0,-0.42,-0.4,1,0.5,1,1,4.42
0,5.13,2,1,-49,-0.49,-1.41,1,0.5,0,1,5.13
1,2.505,2,1,98,0.35,0.98,1,0.5,0,1,2.505
1,3.521,2,1,0,-0.41,-0.77,1,0.5,0,1,3.521
1,3.613,2,1,0,-0.42,-0.39,1,0.5,0,1,3.613
1,2.995,2,1,0,-0.47,-1.41,0,0.5,1,1,-2.995
1,3.314,2,1,0,-0.38,-0.54,1,0.5,0,1,3.314
0,1.247,2,1,-36,-0.36,-0.49,0,0.5,1,1,-1.247
0,2.147,2,1,30,0.3,0.62,0,0.5,0,1,-2.147
0,1.28,2,1,53,0.53,1.19,0,0.5,1,1,-1.28
1,3.338,2,1,-140,-0.55,-1.4,0,0.5,0,1,-3.338
0,2.279,2,1,-35,-0.35,-0.84,1,0.5,1,1,2.279
1,2.996,2,1,-70,-0.54,-0.7,1,0.5,1,1,2.996
1,2.721,2,1,0,-0.49,-1.22,0,0.5,1,1,-2.721
1,1.797,2,1,-62,-0.3,-0.62,0,0.5,1,1,-1.797
1,2.284,2,1,94,0.5,0.94,0,0.5,1,1,-2.284
1,2.371,2,1,59,0.34,0.59,0,0.5,0,1,-2.371
0,2.34,2,2,35,0.35,0.84,0,0.5,1,1,-2.34
0,2.008,2,2,52,0.52,0.86,1,0.5,1,1,2.008
1,3.325,2,2,-39,-0.46,-0.39,1,0.5,1,1,3.325
1,2.174,2,2,0,-0.33,-0.98,0,0.5,1,1,-2.174
0,2.74,2,2,43,0.43,0.77,1,0.5,1,1,2.74
1,2.808,2,2,-37,-0.42,-0.37,1,0.5,0,1,2.808
1,2.458,2,2,-52,-0.43,-0.52,1,0.5,1,1,2.458
0,4.959,2,2,-37,-0.37,-0.91,1,0.5,0,1,4.959
1,2.173,2,2,132,0.45,1.32,1,0.5,0,1,2.173
0,1.308,2,2,32,0.32,0.56,1,0.5,1,1,1.308
1,2.238,2,2,50,0.3,0.5,0,0.5,0,1,-2.238
0,1.24,2,2,51,0.51,0.82,1,0.5,0,1,1.24
1,1.673,2,2,80,0.38,0.8,1,0.5,1,1,1.673
0,2.058,2,2,42,0.42,0.72,1,0.5,0,1,2.058
0,1.856,2,2,50,0.5,0.7,1,0.5,0,1,1.856
0,7.091,2,2,-40,-0.4,-0.8,1,0.5,0,1,7.091
0,2.123,2,2,-34,-0.34,-0.54,0,0.5,0,1,-2.123
1,1.64,2,2,0,-0.51,-0.92,1,0.5,1,1,1.64
1,1.79,2,2,0,0.53,1.51,1,0.5,1,1,1.79
0,1.49,2,2,34,0.34,0.59,1,0.5,1,1,1.49
1,1.074,2,2,0,0.53,1.19,1,0.5,0,1,1.074
1,3.708,2,2,-86,-0.54,-0.86,1,0.5,0,1,3.708
0,1.458,2,2,38,0.38,0.54,1,0.5,0,1,1.458
0,1.056,2,2,42,0.42,0.39,1,0.5,1,1,1.056
1,3.135,2,2,0,-0.34,-0.59,1,0.5,1,1,3.135
1,2.875,2,2,98,0.37,0.98,1,0.5,0,1,2.875
1,2.056,2,2,0,-0.54,-0.78,1,0.5,1,1,2.056
1,1.573,2,2,-72,-0.42,-0.72,1,0.5,1,1,1.573
0,2.056,2,2,-45,-0.45,-1.03,1,0.5,0,1,2.056
0,1.64,2,2,-53,-0.53,-1.62,1,0.5,0,1,1.64
0,2.69,2,2,-51,-0.51,-1.02,1,0.5,0,1,2.69
0,2.757,2,2,-49,-0.49,-1.03,1,0.5,1,1,2.757
0,1.773,2,2,-55,-0.55,-1.4,1,0.5,1,1,1.773
1,1.958,2,2,0,-0.41,-0.58,1,0.5,0,1,1.958
1,1.837,2,2,0,-0.32,-0.56,1,0.5,1,1,1.837
1,1.122,2,2,0,-0.3,-0.56,1,0.5,0,1,1.122
0,1.857,2,2,53,0.53,0.92,1,0.5,1,1,1.857
1,1.606,2,2,0,0.43,0.71,0,0.5,0,1,-1.606
1,1.257,2,2,0,0.47,1.03,1,0.5,1,1,1.257
0,1.357,2,2,46,0.46,0.39,1,0.5,0,1,1.357
0,1.18,2,3,42,0.42,0.39,1,0.5,0,1,1.18
0,3.532,2,3,33,0.33,0.98,0,0.5,1,1,-3.532
0,2.182,2,3,30,0.3,0.56,1,0.5,0,1,2.182
1,3.324,2,3,-59,-0.36,-0.59,1,0.5,0,1,3.324
0,1.765,2,3,-55,-0.55,-1.4,1,0.5,0,1,1.765
0,2.772,2,3,-49,-0.49,-1.32,1,0.5,1,1,2.772
1,3.266,2,3,0,0.43,0.77,0,0.5,0,1,-3.266
1,1.823,2,3,0,-0.42,-0.4,1,0.5,0,1,1.823
1,2.18,2,3,-65,-0.38,-0.65,1,0.5,1,1,2.18
0,1.114,2,3,-50,-0.5,-0.94,0,0.5,0,1,-1.114
0,1.223,2,3,-49,-0.49,-1.32,1,0.5,0,1,1.223
0,1.763,2,3,54,0.54,0.62,1,0.5,1,1,1.763
0,1.272,2,3,-41,-0.41,-0.58,0,0.5,0,1,-1.272
0,1.323,2,3,45,0.45,0.58,1,0.5,1,1,1.323
1,2.213,2,3,0,0.42,0.96,1,0.5,1,1,2.213
0,1.164,2,3,-32,-0.32,-0.62,0,0.5,0,1,-1.164
0,1.732,2,3,-38,-0.38,-0.8,1,0.5,1,1,1.732
0,1.35,2,3,49,0.49,1.03,0,0.5,0,1,-1.35
0,1.489,2,3,49,0.49,1.02,0,0.5,0,1,-1.489
1,1.484,2,3,0,0.55,1.62,1,0.5,1,1,1.484
0,1.024,2,3,-53,-0.53,-1.12,1,0.5,0,1,1.024
0,1.548,2,3,-53,-0.53,-1.22,1,0.5,1,1,1.548
0,0.897,2,3,38,0.38,0.64,1,0.5,0,1,0.897
0,1.321,2,3,-42,-0.42,-0.64,0,0.5,0,1,-1.321
0,1.106,2,3,32,0.32,0.62,1,0.5,1,1,1.106
0,2.173,2,3,46,0.46,0.39,1,0.5,1,1,2.173
0,1.497,2,3,-45,-0.45,-0.71,0,0.5,1,1,-1.497
0,1.102,2,3,53,0.53,1.3,0,0.5,0,1,-1.102
0,0.941,2,3,-33,-0.33,-0.98,1,0.5,0,1,0.941
0,0.906,2,3,49,0.49,1.03,0,0.5,1,1,-0.906
0,0.973,2,3,54,0.54,0.62,1,0.5,0,1,0.973
1,1.619,2,3,84,0.33,0.84,1,0.5,0,1,1.619
0,0.897,2,3,-53,-0.53,-1.51,1,0.5,1,1,0.897
0,0.84,2,3,38,0.38,0.65,1,0.5,1,1,0.84
0,0.939,2,3,-37,-0.37,-1.05,1,0.5,1,1,0.939
0,0.897,2,3,53,0.53,1.02,1,0.5,1,1,0.897
0,0.881,2,3,36,0.36,0.54,1,0.5,0,1,0.881
0,0.857,2,3,-30,-0.3,-0.5,0,0.5,1,1,-0.857
1,1.522,2,3,-36,-0.42,-0.36,1,0.5,1,1,1.522
0,1.027,2,3,-50,-0.5,-0.86,0,0.5,1,1,-1.027
0,1.94,2,4,40,0.4,0.8,1,0.5,0,1,1.94
0,1.576,2,4,38,0.38,0.72,1,0.5,1,1,1.576
0,0.858,2,4,38,0.38,0.43,1,0.5,1,1,0.858
0,1.692,2,4,-55,-0.55,-1.19,1,0.5,0,1,1.692
1,4.677,2,4,0,0.49,1.22,1,0.5,1,1,4.677
0,0.808,2,4,45,0.45,0.65,1,0.5,1,1,0.808
1,2.191,2,4,0,-0.42,-0.39,1,0.5,0,1,2.191
0,3.206,2,4,-49,-0.49,-0.82,0,0.5,1,1,-3.206
1,1.241,2,4,0,0.49,1.41,1,0.5,0,1,1.241
0,1.641,2,4,-38,-0.38,-0.72,0,0.5,1,1,-1.641
0,0.774,2,4,38,0.38,0.43,1,0.5,0,1,0.774
0,0.674,2,4,35,0.35,0.91,0,0.5,1,1,-0.674
0,0.64,2,4,55,0.55,1.51,0,0.5,0,1,-0.64
0,0.79,2,4,53,0.53,1.62,0,0.5,1,1,-0.79
1,3.224,2,4,-94,-0.54,-0.94,1,0.5,0,1,3.224
1,1.558,2,4,0,-0.37,-0.84,0,0.5,1,1,-1.558
1,3.841,2,4,-50,-0.3,-0.5,1,0.5,1,1,3.841
1,2.774,2,4,0,0.43,0.77,0,0.5,0,1,-2.774
0,0.624,2,4,35,0.35,0.84,0,0.5,0,1,-0.624
0,1.006,2,4,-45,-0.45,-1.13,1,0.5,0,1,1.006
0,0.688,2,4,50,0.5,0.94,1,0.5,0,1,0.688
0,0.474,2,4,54,0.54,0.62,1,0.5,1,1,0.474
0,0.874,2,4,30,0.3,0.56,1,0.5,0,1,0.874
0,1.058,2,4,-55,-0.55,-1.51,1,0.5,1,1,1.058
1,1.873,2,4,-43,-0.36,-0.43,1,0.5,0,1,1.873
1,2.259,2,4,0,-0.47,-1.32,0,0.5,1,1,-2.259
0,1.459,2,4,-38,-0.38,-0.72,0,0.5,0,1,-1.459
0,0.658,2,4,44,0.44,0.39,1,0.5,1,1,0.658
0,0.742,2,4,53,0.53,1.22,0,0.5,1,1,-0.742
0,0.74,2,4,42,0.42,0.4,1,0.5,0,1,0.74
0,1.257,2,4,-30,-0.3,-0.68,1,0.5,0,1,1.257
0,2.507,2,4,-33,-0.33,-0.84,1,0.5,0,1,2.507
1,1.141,2,4,-62,-0.5,-0.62,1,0.5,1,1,1.141
1,1.658,2,4,74,0.3,0.74,1,0.5,1,1,1.658
1,2.023,2,4,-112,-0.49,-1.12,0,0.5,0,1,-2.023
1,0.958,2,4,-36,-0.44,-0.36,1,0.5,1,1,0.958
1,2.207,2,4,-71,-0.43,-0.71,1,0.5,1,1,2.207
1,1.174,2,4,0,-0.38,-0.65,1,0.5,1,1,1.174
1,1.225,2,4,0,0.53,0.82,0,0.5,0,1,-1.225
1,1.089,2,4,-65,-0.43,-0.65,1,0.5,0,1,1.089
0,1.62,2,5,49,0.49,1.02,0,0.5,0,1,-1.62
1,2.862,2,5,0,-0.5,-0.7,1,0.5,1,1,2.862
1,3.727,2,5,-65,-0.38,-0.65,1,0.5,0,1,3.727
0,1.389,2,5,44,0.44,0.36,1,0.5,0,1,1.389
