ppt,trial,block,stake,s1,s2,choice,stimuli_left,stimuli_right,points,rews_1,rews_2,rt_1,rt_2,timeout_1,timeout_2,missed,score
101,0,1,5,2,1,4,3,4,0.888889,0.888889,0.444444,0.567483,1.33267,0,0,0,4.44444
101,1,1,1,2,1,4,3,4,1,1,0.555556,0.702171,0.368045,0,0,0,5.44444
101,2,1,5,1,1,2,2,1,0.888889,0.888889,0.444444,1.16626,0.375672,0,0,0,9.88889
101,3,1,1,1,1,2,1,2,0.888889,0.888889,0.333333,0.824604,0.414765,0,0,0,10.7778
101,4,1,1,2,2,3,3,4,0.222222,1,0.222222,0.657614,0.57406,0,0,0,11
101,5,1,5,1,1,2,1,2,0.777778,0.777778,0.333333,1.47005,0.202371,0,0,0,14.8889
101,6,1,1,2,1,4,4,3,0.555556,0.555556,0.555556,1.06906,0.224454,0,0,0,15.4444
101,7,1,1,2,2,3,3,4,0.777778,0.777778,0.777778,0.932429,0.261405,0,0,0,16.2222
101,8,1,5,1,2,1,1,2,0.555556,0.666667,0.555556,1.40545,0.32299,0,0,0,19
101,9,1,5,2,1,4,4,3,0.666667,0.666667,0.555556,0.885729,0.384451,0,0,0,22.3333
101,10,1,1,2,1,4,4,3,0.777778,0.777778,0.444444,0.985366,0.303276,0,0,0,23.1111
101,11,1,5,1,1,2,2,1,1,1,0.444444,1.4897,0.277034,0,0,0,28.1111
101,12,1,5,2,1,4,3,4,1,1,0.777778,0.716958,0.268566,0,0,0,33.1111
101,13,1,5,1,1,2,1,2,0.888889,0.888889,0.777778,1.10305,0.316862,0,0,0,37.5556
101,14,1,5,2,1,4,4,3,0.777778,0.777778,0.777778,1.43866,0.272123,0,0,0,41.4444
101,15,1,1,2,1,4,3,4,0.333333,0.333333,0.555556,0.845815,0.358193,0,0,0,41.7778
101,16,1,5,1,2,1,2,1,0.222222,0.444444,0.222222,1.27898,0.269271,0,0,0,42.8889
101,17,1,1,1,0,-1,2,1,0,0.111111,0.222222,-1,-1,1,0,1,42.8889
101,18,1,5,1,2,1,2,1,0.111111,0.111111,0.111111,0.618642,0.340009,0,0,0,43.4444
101,19,1,1,2,1,4,4,3,0,0,0.111111,0.621938,0.274111,0,0,0,43.4444
101,20,1,1,2,2,3,3,4,0.333333,0.333333,0.333333,1.26641,0.307203,0,0,0,43.7778
101,21,1,5,2,2,3,4,3,0.222222,0.111111,0.222222,1.10666,0.372863,0,0,0,44.8889
101,22,1,1,2,1,4,3,4,0,0,0.111111,0.457112,0.294381,0,0,0,44.8889
101,23,1,5,2,2,3,3,4,0.111111,0.111111,0.111111,0.935817,0.333309,0,0,0,45.4444
101,24,1,5,2,1,4,4,3,0.111111,0.111111,0.333333,0.795927,0.324699,0,0,0,46
101,25,1,5,1,1,2,1,2,0.111111,0.111111,0.444444,0.834355,0.285228,0,0,0,46.5556
101,26,1,1,1,1,2,2,1,0,0,0.444444,1.05118,0.262564,0,0,0,46.5556
101,27,1,1,2,2,3,3,4,0.444444,0.111111,0.444444,1.25993,0.383661,0,0,0,47
101,28,1,5,1,2,1,1,2,0.333333,0,0.333333,1.1589,0.266571,0,0,0,48.6667
101,29,1,5,2,1,4,4,3,0.111111,0.111111,0.555556,0.81069,0.350469,0,0,0,49.2222
101,30,1,5,2,2,3,3,4,0.444444,0.222222,0.444444,1.18934,0.426356,0,0,0,51.4444
101,31,1,5,1,2,1,1,2,0.333333,0,0.333333,1.09448,0.25781,0,0,0,53.1111
101,32,1,5,2,1,4,3,4,0.333333,0.333333,0.333333,0.53264,0.336348,0,0,0,54.7778
101,33,1,5,1,1,2,2,1,0.666667,0.666667,0.222222,1.35591,0.284548,0,0,0,58.1111
101,34,1,5,1,1,2,1,2,0.444444,0.444444,0,1.2548,0.233216,0,0,0,60.3333
101,35,2,1,1,2,1,1,2,0.111111,0.444444,0.111111,0.781713,0.470904,0,0,0,60.4444
101,36,2,5,1,1,2,2,1,0.555556,0.555556,0.222222,0.637519,0.338762,0,0,0,63.2222
101,37,2,5,1,1,2,2,1,0.888889,0.888889,0.111111,0.914883,0.305188,0,0,0,67.6667
101,38,2,5,1,1,2,1,2,0.888889,0.888889,0.111111,0.803678,0.416028,0,0,0,72.1111
101,39,2,1,1,1,2,1,2,0.666667,0.666667,0,0.561382,0.272146,0,0,0,72.7778
101,40,2,1,2,1,4,3,4,0.777778,0.777778,0.333333,0.705495,0.362959,0,0,0,73.5556
101,41,2,1,2,1,4,4,3,0.888889,0.888889,0.111111,0.735856,0.570773,0,0,0,74.4444
101,42,2,1,1,1,2,1,2,0.888889,0.888889,0.444444,1.10552,0.315109,0,0,0,75.3333
101,43,2,1,2,1,4,4,3,0.888889,0.888889,0.111111,0.534742,0.242171,0,0,0,76.2222
101,44,2,5,2,1,4,3,4,0.555556,0.555556,0.555556,0.407733,0.386231,0,0,0,79
101,45,2,5,2,2,3,4,3,0.666667,0.222222,0.666667,0.696902,0.329156,0,0,0,82.3333
101,46,2,1,2,2,3,3,4,0.666667,0.111111,0.666667,0.968489,0.358884,0,0,0,83
101,47,2,5,1,2,1,2,1,0.333333,0.111111,0.333333,0.936286,0.351351,0,0,0,84.6667
