,subject,stimulus,response,confidence,intensits,ppt
0,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,1.0,0.0,0.89,2.0,0
1,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,1.0,1.0,1.0,6.0,0
2,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,0.0,0.44,6.0,0
3,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,0.0,0.52,2.0,0
4,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,1.0,0.0,0.46,2.0,0
5,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,1.0,0.25,6.0,0
6,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,0.0,0.85,10.0,0
7,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,1.0,1.0,0.21,10.0,0
8,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,1.0,1.0,0.77,6.0,0
9,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,0.0,0.18,6.0,0
10,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,1.0,0.23,2.0,0
11,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,0.0,0.22,6.0,0
12,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,0.0,0.24,6.0,0
13,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,1.0,0.0,2.0,0
14,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,1.0,1.0,1.0,6.0,0
15,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,1.0,0.0,6.0,0
16,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,1.0,1.0,1.0,10.0,0
17,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,1.0,0.0,10.0,0
18,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,1.0,0.0,14.0,0
19,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,1.0,1.0,0.71,18.0,0
20,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,1.0,1.0,0.16,18.0,0
21,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,0.0,0.72,14.0,0
22,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,1.0,0.0,14.0,0
23,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,1.0,0.0,0.99,18.0,0
24,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,0.0,0.08,22.0,0
25,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,0.0,1.0,22.0,0
26,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,1.0,0.1,2.0,0
27,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,1.0,0.79,6.0,0
28,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,0.0,0.13,10.0,0
29,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,1.0,0.0,10.0,0
30,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,0.0,0.0,14.0,0
31,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,1.0,1.0,0.1,14.0,0
32,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,1.0,1.0,0.0,10.0,0
33,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,1.0,1.0,0.0,10.0,0
34,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,1.0,1.0,0.0,6.0,0
35,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,1.0,0.0,6.0,0
36,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,1.0,0.0,10.0,0
37,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,1.0,0.0,0.65,14.0,0
38,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,1.0,1.0,0.22,18.0,0
39,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,1.0,0.0,0.23,18.0,0
40,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,0.0,0.63,22.0,0
41,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,0.0,1.0,22.0,0
42,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,1.0,1.0,0.91,18.0,0
43,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,1.0,1.0,0.55,18.0,0
44,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,1.0,0.0,0.0,14.0,0
45,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,0.0,0.0,18.0,0
46,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,0.0,1.0,18.0,0
47,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,0.0,0.0,14.0,0
48,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,0.0,0.0,14.0,0
49,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,1.0,0.44,10.0,0
50,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,1.0,0.0,0.11,14.0,0
51,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,1.0,0.0,0.01,18.0,0
52,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,1.0,1.0,1.0,22.0,0
