index,ppt,trial,stimulus_left,stimulus_right,reward_left,reward_right,responses,feedback
0,1,1,2,4,1,1,1,1
1,1,2,2,4,1,1,2,1
2,1,3,2,1,0,0,1,0
3,1,4,2,1,0,0,2,0
4,1,5,1,4,0,0,1,0
5,1,6,4,3,1,1,1,1
6,1,7,3,1,1,0,1,1
7,1,8,3,2,0,0,2,0
8,1,9,1,4,0,0,1,0
9,1,10,2,3,0,0,1,0
10,1,11,2,3,0,1,2,1
11,1,12,2,4,1,1,2,1
12,1,13,2,1,0,0,2,0
13,1,14,1,4,1,0,2,0
14,1,15,1,3,0,1,2,1
15,1,16,2,4,0,0,2,0
16,1,17,3,1,0,0,1,0
17,1,18,1,2,0,0,1,0
18,1,19,1,3,0,1,2,1
19,1,20,1,3,0,1,2,1
20,1,21,3,2,1,1,1,1
21,1,22,1,3,0,0,2,0
22,1,23,1,3,0,0,2,0
23,1,24,3,4,0,1,2,1
24,1,25,1,4,0,1,2,1
25,1,26,1,3,0,0,1,0
26,1,27,3,2,0,0,1,0
27,1,28,3,4,1,1,2,1
28,1,29,2,1,1,0,2,0
29,1,30,3,1,0,0,2,0
30,1,31,1,2,0,0,2,0
31,1,32,4,1,0,0,1,0
32,1,33,1,2,1,0,1,1
33,1,34,3,1,0,0,1,0
34,1,35,3,1,0,0,2,0
35,1,36,4,2,1,1,1,1
36,1,37,3,4,1,1,1,1
37,1,38,4,2,1,0,1,1
38,1,39,3,1,1,1,1,1
39,1,40,4,1,1,0,2,0
40,1,41,3,4,1,1,2,1
41,1,42,2,3,0,0,2,0
42,1,43,3,2,1,1,1,1
43,1,44,2,3,0,1,2,1
44,1,45,4,2,1,0,1,1
45,1,46,1,3,0,1,2,1
46,1,47,4,1,1,0,2,0
47,1,48,4,2,1,1,1,1
48,1,49,4,2,1,0,1,1
49,1,50,4,3,1,1,1,1
50,1,51,4,3,1,0,1,1
51,1,52,4,1,1,0,1,1
52,1,53,3,1,1,0,2,0
53,1,54,2,1,0,0,1,0
54,1,55,1,4,1,1,2,1
55,1,56,1,2,1,0,2,0
56,1,57,4,2,0,1,1,0
57,1,58,2,4,0,1,2,1
58,1,59,3,4,1,1,2,1
59,1,60,2,1,0,0,1,0
60,1,61,3,2,1,0,1,1
61,1,62,1,3,0,0,2,0
62,1,63,4,2,1,0,1,1
63,1,64,3,2,1,1,1,1
64,1,65,2,3,0,1,2,1
65,1,66,2,1,0,0,2,0
66,1,67,4,3,1,1,1,1
67,1,68,4,1,1,0,1,1
68,1,69,4,3,1,1,1,1
69,1,70,1,2,0,1,2,1
70,1,71,3,4,0,1,2,1
71,1,72,3,2,1,0,2,0
72,1,73,1,4,0,1,2,1
73,1,74,2,1,1,0,2,0
74,1,75,2,3,1,0,2,0
75,1,76,2,3,0,1,2,1
76,1,77,4,3,1,1,1,1
77,1,78,3,2,1,1,1,1
78,1,79,3,4,0,1,2,1
79,1,80,1,2,1,1,1,1
80,1,81,3,1,1,1,1,1
81,1,82,2,3,1,0,2,0
82,1,83,2,4,0,1,2,1
83,1,84,4,3,1,1,1,1
84,1,85,4,2,0,1,1,0
85,1,86,4,1,0,0,1,0
86,1,87,1,2,1,1,1,1
87,1,88,4,1,1,0,1,1
88,1,89,4,3,1,0,1,1
89,1,90,4,1,1,0,1,1
90,1,91,1,4,1,1,2,1
91,1,92,1,2,0,1,2,1
92,1,93,2,4,1,1,2,1
93,1,94,1,4,1,0,2,0
94,1,95,3,4,0,1,2,1
95,1,96,2,4,0,0,1,0
96,2,1,2,4,0,1,2,1
97,2,2,2,4,0,1,1,0
98,2,3,3,2,1,1,1,1
99,2,4,3,2,1,1,2,1
100,2,5,3,1,0,0,2,0
101,2,6,3,1,0,0,1,0
102,2,7,3,1,1,0,1,1
103,2,8,3,4,0,0,1,0
104,2,9,4,3,1,0,1,1
105,2,10,1,4,0,1,2,1
106,2,11,3,1,1,0,2,0
107,2,12,2,4,0,1,2,1
108,2,13,4,3,1,0,1,1
109,2,14,1,4,1,1,2,1
110,2,15,1,2,0,1,1,0
111,2,16,4,3,0,1,1,0
112,2,17,4,2,1,0,2,0
113,2,18,1,2,0,1,1,0
114,2,19,3,1,1,1,1,1
115,2,20,4,3,1,0,2,0
116,2,21,2,3,0,1,2,1
117,2,22,4,3,1,0,2,0
118,2,23,3,4,1,1,2,1
119,2,24,3,4,1,0,2,0
120,2,25,1,3,1,1,2,1
121,2,26,1,4,1,1,2,1
122,2,27,4,1,1,0,1,1
123,2,28,3,4,1,1,2,1
124,2,29,4,2,1,1,1,1
125,2,30,3,1,1,1,1,1
126,2,31,2,1,0,0,2,0
127,2,32,3,1,1,0,1,1
128,2,33,3,2,1,0,1,1
129,2,34,3,4,0,0,2,0
130,2,35,1,2,0,1,2,1
131,2,36,1,4,0,1,2,1
132,2,37,1,3,0,0,2,0
133,2,38,2,3,0,1,2,1
134,2,39,2,1,1,0,2,0
135,2,40,4,2,1,1,1,1
136,2,41,2,3,1,1,2,1
137,2,42,4,2,1,0,1,1
138,2,43,2,1,0,0,2,0
139,2,44,2,4,0,1,2,1
140,2,45,3,4,1,0,2,0
