,stimulus_left,stimulus_right,reward_left,reward_right,ppt,trial,responses
0,1,2,1.0,1.0,1,1,1
1,2,4,0.0,0.0,1,2,0
2,3,2,0.0,0.0,1,3,1
3,4,3,0.0,0.0,1,4,1
4,3,4,0.0,0.0,1,5,1
5,2,1,0.0,1.0,1,6,0
6,3,2,0.0,0.0,1,7,0
7,4,1,0.0,0.0,1,8,1
8,2,4,0.0,0.0,1,9,1
9,1,4,0.0,0.0,1,10,0
10,3,2,1.0,1.0,1,11,1
11,1,4,0.0,1.0,1,12,1
12,3,1,1.0,1.0,1,13,1
13,4,2,0.0,0.0,1,14,1
14,4,2,0.0,1.0,1,15,1
15,3,4,0.0,0.0,1,16,0
16,2,1,0.0,1.0,1,17,1
17,1,3,1.0,0.0,1,18,0
18,4,3,0.0,0.0,1,19,0
19,2,1,0.0,1.0,1,20,0
20,3,4,1.0,0.0,1,21,1
21,1,2,1.0,0.0,1,22,1
22,2,1,0.0,1.0,1,23,1
23,1,3,1.0,1.0,1,24,0
24,3,4,0.0,0.0,1,25,0
25,4,2,0.0,0.0,1,26,0
26,4,3,0.0,0.0,1,27,0
27,3,2,1.0,1.0,1,28,1
28,2,3,0.0,0.0,1,29,1
29,1,4,1.0,0.0,1,30,1
30,1,3,0.0,1.0,1,31,1
31,1,3,1.0,0.0,1,32,1
32,4,1,0.0,0.0,1,33,1
33,2,3,0.0,0.0,1,34,1
34,2,4,0.0,0.0,1,35,0
35,4,2,0.0,0.0,1,36,0
36,2,4,0.0,0.0,1,37,0
37,1,4,1.0,1.0,1,38,0
38,2,3,0.0,1.0,1,39,1
39,3,2,1.0,1.0,1,40,0
40,3,2,1.0,0.0,1,41,0
41,4,3,0.0,1.0,1,42,0
42,2,3,0.0,1.0,1,43,0
43,2,3,0.0,1.0,1,44,0
44,1,4,0.0,0.0,1,45,1
45,2,1,0.0,1.0,1,46,0
46,3,2,0.0,0.0,1,47,0
47,3,1,1.0,1.0,1,48,0
48,3,4,0.0,0.0,1,49,1
49,1,2,1.0,0.0,1,50,0
50,2,3,0.0,0.0,1,51,0
51,1,2,1.0,1.0,1,52,0
52,2,3,0.0,0.0,1,53,0
53,2,1,0.0,0.0,1,54,0
54,3,4,1.0,0.0,1,55,1
55,1,3,1.0,0.0,1,56,0
56,4,1,0.0,1.0,1,57,1
57,4,1,1.0,1.0,1,58,0
58,4,2,0.0,0.0,1,59,0
59,3,1,0.0,1.0,1,60,1
60,4,3,0.0,1.0,1,61,0
61,2,1,0.0,1.0,1,62,0
62,2,4,0.0,0.0,1,63,1
63,1,2,1.0,0.0,1,64,0
64,1,2,1.0,0.0,1,65,0
65,2,4,0.0,0.0,1,66,0
66,3,1,0.0,1.0,1,67,0
67,1,2,1.0,0.0,1,68,0
68,2,1,0.0,1.0,1,69,1
69,1,3,1.0,0.0,1,70,1
70,1,4,0.0,1.0,1,71,1
71,3,4,0.0,0.0,1,72,0
72,4,2,0.0,0.0,1,73,0
73,3,4,1.0,0.0,1,74,0
74,4,1,1.0,1.0,1,75,0
75,1,4,1.0,0.0,1,76,0
76,1,2,1.0,1.0,1,77,1
77,4,2,0.0,0.0,1,78,0
78,4,3,0.0,1.0,1,79,0
79,4,3,0.0,1.0,1,80,1
80,3,1,0.0,1.0,1,81,1
81,4,2,0.0,1.0,1,82,0
82,1,3,1.0,0.0,1,83,1
83,1,2,1.0,0.0,1,84,1
84,2,3,0.0,1.0,1,85,1
85,3,1,0.0,1.0,1,86,0
86,4,1,0.0,1.0,1,87,1
87,3,1,0.0,0.0,1,88,1
88,2,1,0.0,1.0,1,89,0
89,4,3,0.0,1.0,1,90,1
90,3,1,1.0,1.0,1,91,1
91,2,3,0.0,1.0,1,92,0
92,2,4,0.0,0.0,1,93,1
93,2,4,0.0,0.0,1,94,0
94,3,2,1.0,1.0,1,95,1
95,4,2,0.0,1.0,1,96,1
96,4,1,0.0,1.0,1,97,1
97,4,1,0.0,1.0,1,98,1
98,4,2,0.0,1.0,1,99,1
99,4,3,0.0,0.0,1,100,1
100,1,2,1.0,1.0,1,101,1
101,4,1,0.0,1.0,1,102,1
102,3,4,1.0,0.0,1,103,0
103,4,1,0.0,1.0,1,104,1
104,1,4,1.0,0.0,1,105,1
105,2,3,0.0,1.0,1,106,0
106,3,2,0.0,0.0,1,107,0
107,3,4,0.0,0.0,1,108,1
108,1,3,1.0,1.0,1,109,1
109,1,4,1.0,1.0,1,110,1
110,1,3,1.0,0.0,1,111,0
111,4,3,0.0,1.0,1,112,1
112,2,4,0.0,0.0,1,113,0
113,2,4,0.0,0.0,1,114,0
114,3,2,1.0,0.0,1,115,1
115,2,1,0.0,0.0,1,116,0
116,1,3,0.0,1.0,1,117,0
117,3,1,0.0,0.0,1,118,0
118,1,4,1.0,0.0,1,119,1
119,3,1,1.0,1.0,1,120,1
120,4,3,0.0,0.0,2,1,0
121,4,3,0.0,0.0,2,2,0
122,4,2,0.0,1.0,2,3,0
123,2,3,0.0,1.0,2,4,1
124,3,4,0.0,0.0,2,5,0
125,3,4,0.0,0.0,2,6,1
126,4,3,0.0,1.0,2,7,1
127,1,2,1.0,1.0,2,8,1
128,4,2,0.0,1.0,2,9,0
129,2,1,0.0,0.0,2,10,1
130,4,2,0.0,0.0,2,11,0
131,2,3,0.0,1.0,2,12,0
132,1,2,1.0,0.0,2,13,0
133,4,1,0.0,1.0,2,14,0
134,2,4,0.0,0.0,2,15,0
135,4,2,0.0,1.0,2,16,0
136,4,3,0.0,1.0,2,17,1
137,2,1,0.0,1.0,2,18,1
138,4,1,0.0,1.0,2,19,0
139,1,3,1.0,0.0,2,20,1
140,3,4,1.0,0.0,2,21,1
141,1,4,0.0,1.0,2,22,0
142,4,1,0.0,1.0,2,23,0
143,4,1,0.0,0.0,2,24,1
144,3,2,1.0,1.0,2,25,1
145,3,2,0.0,0.0,2,26,1
146,3,1,1.0,1.0,2,27,1
147,2,1,0.0,1.0,2,28,1
148,1,2,1.0,0.0,2,29,1
149,3,2,1.0,0.0,2,30,1
150,2,3,0.0,1.0,2,31,1
151,4,2,0.0,0.0,2,32,0
152,3,1,1.0,1.0,2,33,1
153,4,1,0.0,0.0,2,34,0
154,3,4,1.0,0.0,2,35,0
155,1,4,1.0,0.0,2,36,0
156,1,4,1.0,1.0,2,37,0
157,2,4,0.0,0.0,2,38,1
158,2,4,0.0,0.0,2,39,0
159,3,2,1.0,1.0,2,40,1
160,1,2,1.0,1.0,2,41,0
161,2,3,0.0,1.0,2,42,0
162,3,4,0.0,0.0,2,43,0
163,4,3,0.0,1.0,2,44,1
164,3,4,0.0,0.0,2,45,1
165,1,3,1.0,0.0,2,46,1
166,2,3,0.0,0.0,2,47,0
167,1,3,1.0,0.0,2,48,1
168,1,4,1.0,1.0,2,49,1
169,2,3,0.0,0.0,2,50,0
170,3,1,0.0,1.0,2,51,0
171,2,4,0.0,0.0,2,52,1
172,3,1,0.0,1.0,2,53,1
173,4,3,0.0,1.0,2,54,1
174,4,2,0.0,0.0,2,55,1
175,4,2,0.0,1.0,2,56,1
176,3,2,1.0,0.0,2,57,0
177,1,3,1.0,1.0,2,58,0
178,3,1,1.0,1.0,2,59,0
179,2,3,0.0,1.0,2,60,1
180,2,4,0.0,0.0,2,61,0
181,1,4,1.0,0.0,2,62,0
182,2,4,0.0,0.0,2,63,1
183,1,3,0.0,1.0,2,64,0
184,2,1,0.0,1.0,2,65,0
185,4,2,0.0,0.0,2,66,1
186,2,1,0.0,0.0,2,67,1
187,1,3,0.0,1.0,2,68,0
188,3,1,0.0,1.0,2,69,0
189,2,4,0.0,0.0,2,70,1
190,2,1,0.0,1.0,2,71,1
191,3,4,0.0,0.0,2,72,1
192,2,1,0.0,1.0,2,73,0
193,1,2,1.0,1.0,2,74,1
194,3,1,0.0,0.0,2,75,1
195,3,4,0.0,0.0,2,76,1
196,4,1,1.0,1.0,2,77,0
197,3,2,0.0,0.0,2,78,1
198,3,1,1.0,1.0,2,79,1
199,1,4,1.0,0.0,2,80,0
200,1,3,1.0,0.0,2,81,1
201,4,3,0.0,0.0,2,82,0
202,2,1,0.0,1.0,2,83,1
203,2,3,0.0,0.0,2,84,1
204,3,4,1.0,0.0,2,85,0
205,4,2,0.0,0.0,2,86,0
206,4,3,0.0,1.0,2,87,0
207,3,4,1.0,0.0,2,88,0
208,1,4,0.0,0.0,2,89,1
209,1,2,1.0,1.0,2,90,1
210,4,2,0.0,0.0,2,91,0
211,2,1,0.0,1.0,2,92,1
212,3,2,0.0,0.0,2,93,1
213,3,2,1.0,1.0,2,94,0
214,2,3,0.0,0.0,2,95,1
215,1,4,1.0,0.0,2,96,1
216,2,4,0.0,0.0,2,97,1
217,1,2,1.0,0.0,2,98,1
218,1,2,1.0,0.0,2,99,1
219,4,1,0.0,1.0,2,100,0
220,4,1,1.0,1.0,2,101,1
221,1,3,1.0,0.0,2,102,0
222,1,2,1.0,0.0,2,103,1
223,3,1,0.0,1.0,2,104,0
224,1,3,1.0,0.0,2,105,1
225,1,4,0.0,1.0,2,106,1
226,1,4,0.0,0.0,2,107,1
227,3,2,1.0,1.0,2,108,1
228,4,3,0.0,1.0,2,109,0
229,3,1,0.0,0.0,2,110,1
230,1,3,1.0,1.0,2,111,1
231,2,1,0.0,1.0,2,112,1
232,2,3,0.0,1.0,2,113,0
233,4,1,0.0,1.0,2,114,0
234,2,4,0.0,0.0,2,115,0
235,2,4,0.0,0.0,2,116,0
236,4,1,0.0,1.0,2,117,0
237,1,2,1.0,0.0,2,118,0
238,3,2,0.0,0.0,2,119,1
239,4,3,0.0,0.0,2,120,1
240,4,2,0.0,0.0,3,1,1
241,1,2,1.0,1.0,3,2,1
242,2,4,0.0,0.0,3,3,0
243,4,3,0.0,1.0,3,4,1
244,4,2,0.0,0.0,3,5,1
245,3,4,1.0,0.0,3,6,1
246,3,1,0.0,0.0,3,7,1
247,1,3,1.0,0.0,3,8,0
248,4,3,0.0,0.0,3,9,0
249,3,1,0.0,1.0,3,10,0
250,2,1,0.0,1.0,3,11,0
251,3,4,0.0,0.0,3,12,0
252,2,1,0.0,1.0,3,13,1
253,1,2,1.0,0.0,3,14,1
254,4,3,0.0,0.0,3,15,1
255,3,1,1.0,1.0,3,16,0
256,1,4,1.0,0.0,3,17,0
257,3,2,0.0,0.0,3,18,1
258,4,1,0.0,1.0,3,19,0
259,1,2,1.0,1.0,3,20,1
260,3,2,1.0,0.0,3,21,0
261,4,2,0.0,1.0,3,22,1
262,2,4,0.0,0.0,3,23,1
263,4,2,0.0,0.0,3,24,0
264,4,1,0.0,1.0,3,25,1
265,4,2,0.0,0.0,3,26,1
266,2,4,0.0,0.0,3,27,0
267,1,2,1.0,0.0,3,28,0
268,4,1,0.0,1.0,3,29,0
269,2,3,0.0,1.0,3,30,0
270,1,3,1.0,1.0,3,31,0
271,2,3,0.0,1.0,3,32,1
272,2,1,0.0,1.0,3,33,1
273,1,2,1.0,0.0,3,34,1
274,4,2,0.0,0.0,3,35,1
275,3,1,0.0,1.0,3,36,0
276,2,1,0.0,0.0,3,37,1
277,1,3,1.0,0.0,3,38,0
278,3,4,1.0,0.0,3,39,1
279,1,3,0.0,1.0,3,40,1
280,3,1,0.0,1.0,3,41,0
281,2,1,0.0,1.0,3,42,0
282,3,2,1.0,0.0,3,43,0
283,3,2,0.0,0.0,3,44,1
284,4,1,0.0,1.0,3,45,0
285,4,2,0.0,1.0,3,46,1
286,2,4,0.0,0.0,3,47,0
287,1,4,0.0,0.0,3,48,0
288,4,1,1.0,1.0,3,49,0
289,3,1,1.0,1.0,3,50,0
290,2,4,0.0,0.0,3,51,0
291,3,4,0.0,0.0,3,52,1
292,1,2,1.0,1.0,3,53,1
293,4,3,0.0,0.0,3,54,0
294,3,2,0.0,0.0,3,55,1
295,2,4,0.0,0.0,3,56,1
296,4,2,0.0,1.0,3,57,0
297,1,4,1.0,0.0,3,58,1
298,3,2,1.0,1.0,3,59,0
299,3,4,1.0,0.0,3,60,0
300,2,4,0.0,0.0,3,61,1
301,4,1,0.0,0.0,3,62,0
302,2,1,0.0,1.0,3,63,0
303,4,1,1.0,1.0,3,64,1
304,2,3,0.0,1.0,3,65,0
305,2,3,0.0,1.0,3,66,0
306,1,3,1.0,0.0,3,67,0
307,2,3,0.0,0.0,3,68,0
308,3,1,1.0,1.0,3,69,0
309,2,4,0.0,0.0,3,70,1
310,4,3,0.0,0.0,3,71,0
311,1,4,0.0,1.0,3,72,1
312,3,4,0.0,0.0,3,73,1
313,1,4,1.0,0.0,3,74,1
314,1,2,1.0,0.0,3,75,1
315,3,4,1.0,0.0,3,76,0
316,1,2,1.0,0.0,3,77,1
317,2,3,0.0,1.0,3,78,0
318,2,4,0.0,0.0,3,79,1
319,2,1,0.0,1.0,3,80,1
320,3,1,0.0,1.0,3,81,0
321,2,3,0.0,0.0,3,82,0
322,4,2,0.0,1.0,3,83,1
323,1,4,1.0,0.0,3,84,1
324,3,1,1.0,1.0,3,85,1
325,1,3,0.0,1.0,3,86,0
