Unnamed: 0,stimulus_left,stimulus_right,reward_left,reward_right,ppt,trial,responses
0,1,2,1.0,1.0,1,1,1
1,2,4,0.0,0.0,1,2,1
2,3,2,0.0,0.0,1,3,0
3,4,3,0.0,0.0,1,4,0
4,3,4,0.0,0.0,1,5,1
5,2,1,0.0,1.0,1,6,1
6,3,2,0.0,0.0,1,7,1
7,4,1,0.0,0.0,1,8,0
8,2,4,0.0,0.0,1,9,0
9,1,4,0.0,0.0,1,10,0
10,3,2,1.0,1.0,1,11,0
11,1,4,0.0,1.0,1,12,0
12,3,1,1.0,1.0,1,13,1
13,4,2,0.0,0.0,1,14,1
14,4,2,0.0,1.0,1,15,1
15,3,4,0.0,0.0,1,16,0
16,2,1,0.0,1.0,1,17,0
17,1,3,1.0,0.0,1,18,1
18,4,3,0.0,0.0,1,19,0
19,2,1,0.0,1.0,1,20,1
20,3,4,1.0,0.0,1,21,1
21,1,2,1.0,0.0,1,22,0
22,2,1,0.0,1.0,1,23,0
23,1,3,1.0,1.0,1,24,0
24,3,4,0.0,0.0,1,25,0
25,4,2,0.0,0.0,1,26,1
26,4,3,0.0,0.0,1,27,0
27,3,2,1.0,1.0,1,28,1
28,2,3,0.0,0.0,1,29,0
29,1,4,1.0,0.0,1,30,0
30,1,3,0.0,1.0,1,31,0
31,1,3,1.0,0.0,1,32,0
32,4,1,0.0,0.0,1,33,1
33,2,3,0.0,0.0,1,34,0
34,2,4,0.0,0.0,1,35,0
35,4,2,0.0,0.0,1,36,1
36,2,4,0.0,0.0,1,37,1
37,1,4,1.0,1.0,1,38,1
38,2,3,0.0,1.0,1,39,0
39,3,2,1.0,1.0,1,40,1
40,3,2,1.0,0.0,1,41,1
41,4,3,0.0,1.0,1,42,1
42,2,3,0.0,1.0,1,43,0
43,2,3,0.0,1.0,1,44,0
44,1,4,0.0,0.0,1,45,1
45,2,1,0.0,1.0,1,46,0
46,3,2,0.0,0.0,1,47,0
47,3,1,1.0,1.0,1,48,0
48,3,4,0.0,0.0,1,49,0
49,1,2,1.0,0.0,1,50,0
50,2,3,0.0,0.0,1,51,1
51,1,2,1.0,1.0,1,52,1
52,2,3,0.0,0.0,1,53,0
53,2,1,0.0,0.0,1,54,0
54,3,4,1.0,0.0,1,55,1
55,1,3,1.0,0.0,1,56,1
56,4,1,0.0,1.0,1,57,1
57,4,1,1.0,1.0,1,58,0
58,4,2,0.0,0.0,1,59,0
59,3,1,0.0,1.0,1,60,1
60,4,3,0.0,1.0,1,61,1
61,2,1,0.0,1.0,1,62,1
62,2,4,0.0,0.0,1,63,0
63,1,2,1.0,0.0,1,64,0
64,1,2,1.0,0.0,1,65,0
